description,unspsc_code
Supply of Fresh ripe bananas,50192102
Interior wall paint white for site delivery,31211504
Line item: 100m copper wire roll,26121505
Red Washington apples 1kg for site delivery,50192101
Line item: Wall coating matte white,31211504
Acquired 10 units of Electric cable insulated,26121505
Line item: White latex paint,31211504
Requisition for Fresh gala apples,50192101
Purchased: Laptop with 16GB RAM - 50 units,43211503
Dual-band WiFi 6 router for site delivery,43222609
"Procurement request: Banana bunch large, 12 pcs",50192102
"Shipment: 12 x 14"" business notebook",43211503
Organic bananas for site delivery,50192102
"Procurement request: Pro business laptop, 12 pcs",43211503
Order of Matte white emulsion 5L,31211504
5 litre matte paint for site delivery,31211504
Requisition for Matte white emulsion 5L,31211504
"Invoice: Organic hen eggs, qty 5",50131705
Supply of Wireless internet router,43222609
"Invoice: Yellow bananas, qty 12",50192102
Shipment: 10 x Interior wall paint white,31211504
Purchased: Pro business laptop - 25 units,43211503
Purchased: Dual-band WiFi 6 router - 50 units,43222609
Requisition for Bag of green apples,50192101
Line item: Cavendish bananas 1kg,50192102
Shipment: 10 x Wireless internet router,43222609
Supply of 12-pack eggs,50131705
Acquired 5 units of Wall coating matte white,31211504
Line item: Heavy concrete board,30111504
"Invoice: Wireless internet router, qty 12",43222609
Order of Dozen large eggs,50131705
"Invoice: Cavendish bananas 1kg, qty 50",50192102
Steamed white rice for site delivery,50201700
Shipment: 12 x Steamed white rice,50201700
Order of Pro business laptop,43211503
Supply of Yellow bananas,50192102
Supply of Dual-band WiFi 6 router,43222609
Order of Reinforcement bar bundle,30102307
"Invoice: Pro business laptop, qty 12",43211503
Acquired 12 units of Banana bunch large,50192102
"Procurement request: Interior wall paint white, 50 pcs",31211504
Acquired 1 units of Mild steel bars,30102307
Shipment: 1 x Concrete wall unit,30111504
Supply of Banana bunch large,50192102
Line item: Fresh gala apples,50192101
Organic bananas for site delivery,50192102
"Invoice: Electric cable insulated, qty 25",26121505
"Invoice: Carton of eggs, qty 5",50131705
Requisition for House wiring cable,26121505
Supply of Electric cable insulated,26121505
Acquired 10 units of Office network router,43222609
Purchased: Cavendish bananas 1kg - 1 units,50192102
Line item: Dual-band WiFi 6 router,43222609
Purchased: Wall coating matte white - 1 units,31211504
Purchased: Fresh ripe bananas - 1 units,50192102
Bag of green apples for site delivery,50192101
Shipment: 2 x 5 litre matte paint,31211504
Line item: Electric cable insulated,26121505
Shipment: 50 x 12-pack eggs,50131705
Long grain white rice for site delivery,50201700
Requisition for Rice 5kg bag,50201700
Dozen large eggs for site delivery,50131705
Rice 5kg bag for site delivery,50201700
Acquired 10 units of Interior wall paint white,31211504
"Invoice: Reinforcement bar bundle, qty 5",30102307
12-pack eggs for site delivery,50131705
Order of 100m copper wire roll,26121505
100m copper wire roll for site delivery,26121505
Requisition for Interior wall paint white,31211504
Requisition for 12-pack eggs,50131705
Order of Reinforcement bar bundle,30102307
Supply of Office laptop 512GB SSD,43211503
"Invoice: Flexible wire 1.5mm, qty 2",26121505
Order of Laptop with 16GB RAM,43211503
"Procurement request: 100m copper wire roll, 1 pcs",26121505
Shipment: 12 x Loose apples (kg),50192101
Order of Electric cable insulated,26121505
Cavendish bananas 1kg for site delivery,50192102
Requisition for Cavendish bananas 1kg,50192102
Line item: Wall panel concrete 1x2m,30111504
Loose apples (kg) for site delivery,50192101
Acquired 5 units of Panel made of concrete,30111504
"Procurement request: Laptop with 16GB RAM, 2 pcs",43211503
"Invoice: Office laptop 512GB SSD, qty 25",43211503
"Procurement request: Office laptop 512GB SSD, 50 pcs",43211503
Shipment: 12 x Fresh ripe bananas,50192102
Precast concrete slab for site delivery,30111504
Supply of Wall coating matte white,31211504
Purchased: Dual-band WiFi 6 router - 5 units,43222609
Shipment: 50 x Laptop with 16GB RAM,43211503
Line item: Single core copper cable,26121505
Acquired 5 units of 100m copper wire roll,26121505
Supply of Cavendish bananas 1kg,50192102
"Invoice: Yellow bananas, qty 5",50192102
Purchased: Pro business laptop - 25 units,43211503
Supply of Wireless internet router,43222609
Order of Organic hen eggs,50131705
Order of Rice 5kg bag,50201700
Supply of Wireless internet router,43222609
Requisition for Carton of eggs,50131705
Red Washington apples 1kg for site delivery,50192101
Order of Mild steel bars,30102307
Acquired 2 units of Gigabit router,43222609
Order of Long grain white rice,50201700
"Procurement request: Dual-band WiFi 6 router, 2 pcs",43222609
"Procurement request: Matte white emulsion 5L, 50 pcs",31211504
Line item: Flexible wire 1.5mm,26121505
"Invoice: Construction steel rods, qty 50",30102307
Order of Reinforcement bar bundle,30102307
Purchased: Office network router - 5 units,43222609
Requisition for Steel rebars 10mm,30102307
Purchased: Organic apples pack - 2 units,50192101
Supply of Organic hen eggs,50131705
Order of Interior wall paint white,31211504
"Procurement request: White latex paint, 5 pcs",31211504
"Procurement request: Banana bunch large, 25 pcs",50192102
Acquired 5 units of Flexible wire 1.5mm,26121505
Supply of Red Washington apples 1kg,50192101
Order of Concrete wall unit,30111504
"Procurement request: Heavy concrete board, 25 pcs",30111504
Line item: Office network router,43222609
Line item: Organic bananas,50192102
"Requisition for 14"" business notebook",43211503
Purchased: House wiring cable - 5 units,26121505
"Procurement request: Basmati rice 2kg, 12 pcs",50201700
Supply of Dual-band WiFi 6 router,43222609
"Procurement request: Office laptop 512GB SSD, 10 pcs",43211503
"Invoice: Pro business laptop, qty 2",43211503
"Invoice: White jasmine rice, qty 12",50201700
Requisition for Concrete wall unit,30111504
Supply of Bag of green apples,50192101
Line item: Steamed white rice,50201700
Shipment: 10 x Office network router,43222609
Shipment: 50 x Wall coating matte white,31211504
Supply of Steel rebars 10mm,30102307
Concrete wall unit for site delivery,30111504
Purchased: 5 litre matte paint - 50 units,31211504
Order of Interior wall paint white,31211504
Line item: White latex paint,31211504
Requisition for Organic bananas,50192102
Requisition for Wall panel concrete 1x2m,30111504
"Invoice: Long grain white rice, qty 25",50201700
Requisition for Red Washington apples 1kg,50192101
Shipment: 1 x Mild steel bars,30102307
Electric cable insulated for site delivery,26121505
Acquired 12 units of Reinforcement bar bundle,30102307
Shipment: 12 x Concrete wall unit,30111504
Acquired 10 units of Flexible wire 1.5mm,26121505
Shipment: 5 x Reinforcement bar bundle,30102307
Acquired 10 units of 5 litre matte paint,31211504
Shipment: 1 x 5 litre matte paint,31211504
Supply of Laptop with 16GB RAM,43211503
Gigabit router for site delivery,43222609
Requisition for Construction steel rods,30102307
Construction steel rods for site delivery,30102307
Acquired 10 units of Rice 5kg bag,50201700
Purchased: Basmati rice 2kg - 50 units,50201700
Line item: White jasmine rice,50201700
Requisition for Loose apples (kg),50192101
Supply of Bag of green apples,50192101
Acquired 25 units of White jasmine rice,50201700
Purchased: House wiring cable - 10 units,26121505
Requisition for 5 litre matte paint,31211504
"Procurement request: Organic apples pack, 25 pcs",50192101
Shipment: 2 x Long grain white rice,50201700
Order of Panel made of concrete,30111504
Order of Panel made of concrete,30111504
Shipment: 2 x Long grain white rice,50201700
Requisition for Bag of green apples,50192101
"Procurement request: White latex paint, 5 pcs",31211504
Requisition for Rice 5kg bag,50201700
Order of Organic bananas,50192102
"Procurement request: 100m copper wire roll, 2 pcs",26121505
Order of Fresh ripe bananas,50192102
Line item: Matte white emulsion 5L,31211504
Shipment: 25 x Interior wall paint white,31211504
Purchased: Yellow bananas - 10 units,50192102
"Invoice: Workstation laptop, qty 12",43211503
"Invoice: Precast concrete slab, qty 5",30111504
Order of Yellow bananas,50192102
Requisition for Heavy concrete board,30111504
Line item: Matte white emulsion 5L,31211504
Supply of Matte white emulsion 5L,31211504
Line item: Precast concrete slab,30111504
Acquired 10 units of Bag of green apples,50192101
Acquired 25 units of Dual-band WiFi 6 router,43222609
Requisition for Dual-band WiFi 6 router,43222609
Requisition for Dozen large eggs,50131705
Requisition for 12-pack eggs,50131705
Line item: Single core copper cable,26121505
Shipment: 10 x Flexible wire 1.5mm,26121505
"Procurement request: Concrete wall unit, 50 pcs",30111504
Supply of Matte white emulsion 5L,31211504
Line item: White latex paint,31211504
Order of Rice 5kg bag,50201700
Shipment: 2 x Wireless internet router,43222609
"Procurement request: Broadband router, 5 pcs",43222609
Acquired 1 units of Concrete wall unit,30111504
Electric cable insulated for site delivery,26121505
Acquired 50 units of White jasmine rice,50201700
Shipment: 10 x White latex paint,31211504
Supply of Red Washington apples 1kg,50192101
Supply of Long grain white rice,50201700
